  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
a cleaved lipoprotein signal peptide + H2O → n a peptide	protease IV, a signal peptide peptidase	CPLX0-2941	RXN0-3201	PHYSIOL-LEFT-TO-RIGHT	"H2O
a cleaved lipoprotein signal peptide
a peptide"	"a cleaved lipoprotein signal peptide
H2O"	a peptide
a crotonyl-[acp] + NADH + H+→ a butanoyl-[acp] + NAD+	enoyl-[acyl-carrier-protein] reductase	CPLX0-8006	RXN-9657	RIGHT-TO-LEFT	"NAD+
a butanoyl-[acp]
a crotonyl-[acp]
NADH
H+"	"a butanoyl-[acp]
NAD+"	"a crotonyl-[acp]
NADH
H+"
a cytidine 32in tRNA + S-adenosyl-L-methionine → a 2'-O-methylcytidine32in tRNA + S-adenosyl-L-homocysteine + H+	tRNA Cm32/Um32 methyltransferase	CPLX0-7420	RXN-11866	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytidine 32in tRNA
a 2'-O-methylcytidine32in tRNA
S-adenosyl-L-homocysteine
H+"	"a cytidine 32in tRNA
S-adenosyl-L-methionine"	"a 2'-O-methylcytidine32in tRNA
S-adenosyl-L-homocysteine
H+"
a cytidine2498in 23S rRNA + S-adenosyl-L-methionine → a 2-O-methylcytidine2498in 23S rRNA + S-adenosyl-L-homocysteine + H+	23S rRNA 2'-O-ribose C2498 methyltransferase	EG11794-MONOMER	RXN-11589	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytidine2498in 23S rRNA
a 2-O-methylcytidine2498in 23S rRNA
S-adenosyl-L-homocysteine
H+"	"a cytidine2498in 23S rRNA
S-adenosyl-L-methionine"	"a 2-O-methylcytidine2498in 23S rRNA
S-adenosyl-L-homocysteine
H+"
a cytidine34in tRNA + S-adenosyl-L-methionine → a 2'-O-methylcytidine34in tRNA + S-adenosyl-L-homocysteine + H+	tRNA (cytidine/uridine-2'-O)-ribose methyltransferase	CPLX0-7421	RXN-11860	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytidine34in tRNA
a 2'-O-methylcytidine34in tRNA
S-adenosyl-L-homocysteine
H+"	"a cytidine34in tRNA
S-adenosyl-L-methionine"	"a 2'-O-methylcytidine34in tRNA
S-adenosyl-L-homocysteine
H+"
a cytidine34in tRNAIle2+ L-lysine + ATP → a lysidine34in tRNAIle2+ AMP + diphosphate + 2 H+	tRNAIle-lysidine synthetase	G6096-MONOMER	RXN-1961	PHYSIOL-LEFT-TO-RIGHT	"ATP
L-lysine
a cytidine34in tRNAIle2
a lysidine34in tRNAIle2
AMP
diphosphate
H+"	"a cytidine34in tRNAIle2
L-lysine
ATP"	"a lysidine34in tRNAIle2
AMP
diphosphate
H+"
a cytidine34in [elongator tRNAmet] + ATP + acetyl-CoA + H2O → an N4-acetylcytidine34in [elongator tRNAmet] + ADP + coenzyme A + phosphate + H+	tRNAMetcytidine acetyltransferase	G7297-MONOMER	RXN0-5418	LEFT-TO-RIGHT	"H2O
acetyl-CoA
ATP
a cytidine34in [elongator tRNAmet]
an N4-acetylcytidine34in [elongator tRNAmet]
ADP
phosphate
coenzyme A
H+"	"a cytidine34in [elongator tRNAmet]
ATP
acetyl-CoA
H2O"	"an N4-acetylcytidine34in [elongator tRNAmet]
ADP
phosphate
coenzyme A
H+"
a cytosine in DNA + S-adenosyl-L-methionine → a 5-methylcytosine in DNA + S-adenosyl-L-homocysteine + H+	DNA-cytosine methyltransferase	EG10211-MONOMER	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytosine in DNA
a 5-methylcytosine in DNA
S-adenosyl-L-homocysteine
H+"	"a cytosine in DNA
S-adenosyl-L-methionine"	"a 5-methylcytosine in DNA
S-adenosyl-L-homocysteine
H+"
a cytosine1962in 23S rRNA + S-adenosyl-L-methionine → a 5-methylcytosine1962in 23S rRNA + S-adenosyl-L-homocysteine + H+	23S rRNA m5C1962 methyltransferase	CPLX0-7726	RXN-11602	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytosine1962in 23S rRNA
a 5-methylcytosine1962in 23S rRNA
S-adenosyl-L-homocysteine
H+"	"a cytosine1962in 23S rRNA
S-adenosyl-L-methionine"	"a 5-methylcytosine1962in 23S rRNA
S-adenosyl-L-homocysteine
H+"
a cytosine967in 16S rRNA + S-adenosyl-L-methionine → a 5-methylcytosine967in 16S rRNA + S-adenosyl-L-homocysteine + H+	16S rRNA m5C967 methyltransferase	EG12163-MONOMER	RXN-11591	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a cytosine967in 16S rRNA
a 5-methylcytosine967in 16S rRNA
S-adenosyl-L-homocysteine
H+"	"a cytosine967in 16S rRNA
S-adenosyl-L-methionine"	"a 5-methylcytosine967in 16S rRNA
S-adenosyl-L-homocysteine
H+"
a D-amino acid + an electron-transfer quinone[inner membrane]+ H2O → ammonium + a 2-oxo carboxylate + an electron-transfer quinol[inner membrane]	D-amino acid dehydrogenase	DALADEHYDROG-CPLX	RXN-11193	LEFT-TO-RIGHT	"an electron-transfer quinone
a D-amino acid
H2O
ammonium
a 2-oxo carboxylate
an electron-transfer quinol"	"H2O
a D-amino acid
an electron-transfer quinone"	"ammonium
a 2-oxo carboxylate
an electron-transfer quinol"
a D-aminoacyl-[tRNA] + H2O → a D-amino acid + an uncharged tRNA + H+	D-Tyr-tRNATyrdeacylase	CPLX0-3581	RXN-15041	PHYSIOL-LEFT-TO-RIGHT	"H2O
a D-aminoacyl-[tRNA]
a D-amino acid
an uncharged tRNA
H+"	"a D-aminoacyl-[tRNA]
H2O"	"a D-amino acid
an uncharged tRNA
H+"
a D-glucoronoside[periplasm]+ H+[periplasm]→ a D-glucoronoside[cytosol]+ H+[cytosol]	glucuronide:H+symporter	UIDB-MONOMER	TRANS-RXN-98	LEFT-TO-RIGHT	"H+
a D-glucoronoside"	"H+
a D-glucoronoside"	"H+
a D-glucoronoside"
a damaged DNA pyrimidine → an apyrimidinic site in DNA	endonuclease III	EG10662-MONOMER	RXN0-2601	LEFT-TO-RIGHT	"a damaged DNA pyrimidine
an apyrimidinic site in DNA"	a damaged DNA pyrimidine	an apyrimidinic site in DNA
a debranched α-limit dextrin + n phosphate → n α-D-glucopyranose 1-phosphate	maltodextrin phosphorylase	MALDEXPHOSPHORYL-CPLX	RXN-9025	PHYSIOL-LEFT-TO-RIGHT	"phosphate
a debranched α-limit dextrin
α-D-glucopyranose 1-phosphate"	"a debranched α-limit dextrin
phosphate"	α-D-glucopyranose 1-phosphate
a decanoyl-[acp] + a malonyl-[acp] + H+→ a 3-oxo-dodecanoyl-[acp] + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-9531	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a decanoyl-[acp]
a 3-oxo-dodecanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"	"a decanoyl-[acp]
a malonyl-[acp]
H+"	"a 3-oxo-dodecanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"
a diacylglycerol prolipoprotein (with signal peptide) + H2O → a diacylglycerol prolipoprotein + a cleaved lipoprotein signal peptide	lipoprotein signal peptidase	EG10548-MONOMER	RXN-17362	LEFT-TO-RIGHT	"H2O
a diacylglycerol prolipoprotein (with signal peptide)
a diacylglycerol prolipoprotein
a cleaved lipoprotein signal peptide"	"a diacylglycerol prolipoprotein (with signal peptide)
H2O"	"a diacylglycerol prolipoprotein
a cleaved lipoprotein signal peptide"
a diacylglycerol prolipoprotein[periplasm]+ a phosphoglyceride[periplasm]→ a mature triacylated lipoprotein[periplasm]+ a 1-lyso-phospholipid[periplasm]	apolipoprotein N-acyltransferase	EG10168-MONOMER	RXN-17363	PHYSIOL-LEFT-TO-RIGHT	"a phosphoglyceride
a diacylglycerol prolipoprotein
a mature triacylated lipoprotein
a 1-lyso-phospholipid"	"a diacylglycerol prolipoprotein
a phosphoglyceride"	"a mature triacylated lipoprotein
a 1-lyso-phospholipid"
a dicarboxylate[periplasm]↔ a dicarboxylate[extracellular space]	"outer membrane porin F
outer membrane porin E
outer membrane porin C"	"CPLX0-7534
CPLX0-7530
CPLX0-7533"	TRANS-RXN0-609	REVERSIBLE	a dicarboxylate	a dicarboxylate	a dicarboxylate
a dipeptide + H2O → 2 a proteinogenic amino acid	peptidase D	CPLX0-3001	3.4.13.18-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a dipeptide
a proteinogenic amino acid"	"a dipeptide
H2O"	a proteinogenic amino acid
a dipeptide with proline at the C-terminal + H2O → L-proline + a proteinogenic amino acid	Xaa-Pro dipeptidase	CPLX0-8156	3.4.13.9-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a dipeptide with proline at the C-terminal
L-proline
a proteinogenic amino acid"	"a dipeptide with proline at the C-terminal
H2O"	"L-proline
a proteinogenic amino acid"
a dipeptide[periplasm]+ H+[periplasm]→ a dipeptide[cytosol]+ H+[cytosol]	"tripeptide/dipeptide:H+symporter DtpA
dipeptide:H+symporter DtpD
dipeptide/tripeptide:H+symporter DptC
dipeptide/tripeptide:H+symporter DtpB"	"B1634-MONOMER
B0709-MONOMER
YJDL-MONOMER
YHIP-MONOMER"	TRANS-RXN0-288	LEFT-TO-RIGHT	"a dipeptide
H+"	"a dipeptide
H+"	"a dipeptide
H+"
a dipetide with an N-terminal L-aspartate + H2O → L-aspartate + a proteinogenic amino acid	peptidase E, a dipeptidase where amino-terminal residue is aspartate	EG11920-MONOMER	3.4.13.21-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a dipetide with an N-terminal L-aspartate
L-aspartate
a proteinogenic amino acid"	"a dipetide with an N-terminal L-aspartate
H2O"	"L-aspartate
a proteinogenic amino acid"
a disaccharide[periplasm]↔ a disaccharide[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7203	REVERSIBLE	a disaccharide	a disaccharide	a disaccharide
a DNA containing a pyrimidine dimer → a DNA pair of adjacent pyrimidines	deoxyribodipyrimidine photolyase (photoreactivation)	EG10736-MONOMER	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"a DNA containing a pyrimidine dimer
a DNA pair of adjacent pyrimidines"	a DNA containing a pyrimidine dimer	a DNA pair of adjacent pyrimidines
a DNA containing an apurinic/apyrimidinic site → a 5'-phospho-[DNA] + a 3'-terminal unsaturated sugar + H+	"endonuclease III
endonuclease VIII"	"EG10662-MONOMER
G6383-MONOMER"	4.2.99.18-RXN	LEFT-TO-RIGHT	"a DNA containing an apurinic/apyrimidinic site
a 5'-phospho-[DNA]
a 3'-terminal unsaturated sugar
H+"	a DNA containing an apurinic/apyrimidinic site	"a 5'-phospho-[DNA]
a 3'-terminal unsaturated sugar
H+"
a DNA containing an apurinic/apyrimidinic site + n H2O → n+1 a 2'-deoxyribonucleoside 5'-monophosphate + H+	endonuclease V	EG11915-MONOMER	3.1.21.7-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a DNA containing an apurinic/apyrimidinic site
a 2'-deoxyribonucleoside 5'-monophosphate
H+"	"a DNA containing an apurinic/apyrimidinic site
H2O"	"a 2'-deoxyribonucleoside 5'-monophosphate
H+"
a DNA containing Spmethyl phosphotriester + a [protein]-L-cysteine → a DNA without Spmethyl phosphotriester + a [protein]-S-methyl-L-cysteine + H+	DNA-binding transcriptional dual regulator / DNA repair protein Ada	PD00230	RXN-17823	LEFT-TO-RIGHT	"a [protein]-L-cysteine
a DNA containing Spmethyl phosphotriester
a DNA without Spmethyl phosphotriester
a [protein]-S-methyl-L-cysteine
H+"	"a DNA containing Spmethyl phosphotriester
a [protein]-L-cysteine"	"a DNA without Spmethyl phosphotriester
a [protein]-S-methyl-L-cysteine
H+"
a DNA segment ↔ a DNA segment in reverse orientation	e14 prophage; site-specific DNA recombinase	EG10737-MONOMER	RXN0-5100	REVERSIBLE	"a DNA segment
a DNA segment in reverse orientation"	a DNA segment	a DNA segment in reverse orientation
a DNA with unresolved recombinational or Holliday junctions, created by RecA → a DNA segment	RecG DNA helicase	EG10829-MONOMER	RXN0-2604	PHYSIOL-LEFT-TO-RIGHT	"a DNA with unresolved recombinational or Holliday junctions, created by RecA
a DNA segment"	a DNA with unresolved recombinational or Holliday junctions, created by RecA	a DNA segment
a dodecanoyl-[acp] + a malonyl-[acp] + H+→ a 3-oxo-myristoyl-[acp] + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-9535	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a dodecanoyl-[acp]
a 3-oxo-myristoyl-[acp]
CO2
a holo-[acyl-carrier protein]"	"a dodecanoyl-[acp]
a malonyl-[acp]
H+"	"a 3-oxo-myristoyl-[acp]
CO2
a holo-[acyl-carrier protein]"
a dodecanoyl-[acp] + α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA→ α-Kdo-(2->4)-α-Kdo-(2->6)-(lauroyl)-lipid IVA+ a holo-[acyl-carrier protein]	lauroyl acyltransferase	LAUROYLACYLTRAN-MONOMER	LAUROYLACYLTRAN-RXN	LEFT-TO-RIGHT	"α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA
a dodecanoyl-[acp]
α-Kdo-(2->4)-α-Kdo-(2->6)-(lauroyl)-lipid IVA
a holo-[acyl-carrier protein]"	"a dodecanoyl-[acp]
α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA"	"α-Kdo-(2->4)-α-Kdo-(2->6)-(lauroyl)-lipid IVA
a holo-[acyl-carrier protein]"
a double stranded DNA + ATP = a negatively supercoiled DNA + ADP + phosphate	DNA gyrase	CPLX0-2425	5.99.1.3-RXN		"ATP
a double stranded DNA
a negatively supercoiled DNA
ADP
phosphate"	"a double stranded DNA
ATP"	"a negatively supercoiled DNA
ADP
phosphate"
a double stranded DNA + H2O → a single stranded DNA + a 5'-phosphomononucleotide	"exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific
DNA polymerase I, 5' --> 3' polymerase, 5' --> 3' and 3' --> 5' exonuclease"	"EG10827-MONOMER
EG10746-MONOMER"	RXN0-5039	PHYSIOL-LEFT-TO-RIGHT	"H2O
a double stranded DNA
a single stranded DNA
a 5'-phosphomononucleotide"	"a double stranded DNA
H2O"	"a single stranded DNA
a 5'-phosphomononucleotide"
a double stranded DNA + n H2O → n+1 a 5'-phosphooligonucleotide	ATP-dependent helicase/nuclease complex RecBCD	RECBCD	RXN0-2605	PHYSIOL-LEFT-TO-RIGHT	"H2O
a double stranded DNA
a 5'-phosphooligonucleotide"	"a double stranded DNA
H2O"	a 5'-phosphooligonucleotide
a double stranded DNA + n H2O → n+1 a 5'-phosphooligonucleotide	"recombination-promoting nuclease RpnA
Rac prophage; DNA endonuclease toxin of the RalRA toxin-antitoxin system, restriction alleviation and modification enhancement"	"EG11750-MONOMER
EG11900-MONOMER"	RXN0-7100	LEFT-TO-RIGHT	"H2O
a double stranded DNA
a 5'-phosphooligonucleotide"	"a double stranded DNA
H2O"	a 5'-phosphooligonucleotide
a double stranded DNA[periplasm]+ n H2O[periplasm]→ n+1 a 5'-phosphooligonucleotide[periplasm]	DNA-specific endonuclease I	EG11336-MONOMER	3.1.21.1-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a double stranded DNA
a 5'-phosphooligonucleotide"	"a double stranded DNA
H2O"	a 5'-phosphooligonucleotide
a drug[cytosol]→ a drug[periplasm]	drug (nitroimidazole) efflux pump	B1791-MONOMER	TRANS-RXN0-596	PHYSIOL-LEFT-TO-RIGHT	a drug	a drug	a drug
a drug[cytosol]+ 2 H+[periplasm]→ a drug[periplasm]+ 2 H+[cytosol]	multidrug / betaine / choline efflux pump EmrE	CPLX0-7963	TRANS-RXN0-493	PHYSIOL-LEFT-TO-RIGHT	"H+
a drug"	"a drug
H+"	"H+
a drug"
a drug[cytosol]+ ATP + H2O → a drug[periplasm]+ ADP + phosphate	multidrug ABC exporter	ABC-57-CPLX	TRANS-RXN-311	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
a drug
ADP
phosphate"	"a drug
ATP
H2O"	"a drug
ADP
phosphate"
a drug[cytosol]+ H+[periplasm]→ a drug[extracellular space]+ H+[cytosol]	"multidrug efflux pump
multidrug efflux pump MdtABC-TolC
AcrAD-TolC multidrug efflux pump
EmrKY-TolC multidrug efflux pump
AcrEF-TolC multidrug efflux pump
EmrAB-TolC multidrug efflux pump
AcrAB-TolC multidrug efflux pump
MdtEF-TolC multidrug efflux pump"	"CPLX0-7807
TRANS-CPLX-202
CPLX0-3932
CPLX0-2161
CPLX0-2141
CPLX0-2121
TRANS-CPLX-201
TRANS-CPLX-204"	TRANS-RXN-92	LEFT-TO-RIGHT	"H+
a drug"	"H+
a drug"	"H+
a drug"
a drug[cytosol]+ H+[periplasm]→ a drug[periplasm]+ H+[cytosol]	"multidrug / spermidine efflux pump
multidrug efflux pump EmrD
multidrug efflux pump MdfA (multifunctional)
multidrug efflux pump Bcr
multidrug efflux pump
multidrug efflux pump MdtG
multidrug efflux pump / bile salt:H+antiporter / Na+:H+antiporter / K+:H+antiporter"	"YDGEF-CPLX
EMRD-MONOMER
CMR-MONOMER
BCR-MONOMER
YIDY-MONOMER
YCEE-MONOMER
YJIO-MONOMER"	TRANS-RXN-44	LEFT-TO-RIGHT	"H+
a drug"	"H+
a drug"	"H+
a drug"
a drug[cytosol]+ Na+[periplasm]→ a drug[periplasm]+ Na+[cytosol]	multidrug efflux pump	YDHE-MONOMER	RXN0-2561	LEFT-TO-RIGHT	"a drug
Na+"	"a drug
Na+"	"a drug
Na+"
a glutaryl-[acp] methyl ester + a malonyl-[acp] + H+→ a 3-oxo-pimeloyl-[acp] methyl ester + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-11479	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a glutaryl-[acp] methyl ester
a 3-oxo-pimeloyl-[acp] methyl ester
CO2
a holo-[acyl-carrier protein]"	"a glutaryl-[acp] methyl ester
a malonyl-[acp]
H+"	"a 3-oxo-pimeloyl-[acp] methyl ester
CO2
a holo-[acyl-carrier protein]"
a glutathionyl-methylhydroquinone + glutathione → methyl-p-hydroquinone + glutathione disulfide	S-glutathionyl-(chloro)hydroquinone reductase	CPLX0-7984	RXN0-7010	PHYSIOL-LEFT-TO-RIGHT	"glutathione
a glutathionyl-methylhydroquinone
methyl-p-hydroquinone
glutathione disulfide"	"a glutathionyl-methylhydroquinone
glutathione"	"methyl-p-hydroquinone
glutathione disulfide"
a glycerophosphodiester + H2O → an alcohol + sn-glycerol 3-phosphate + H+	"glycerophosphodiester phosphodiesterase
glycerophosphoryl diester phosphodiesterase, periplasmic"	"GLYCPDIESTER-CYTO-MONOMER
GLYCPDIESTER-PERI-CPLX"	GLYCPDIESTER-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a glycerophosphodiester
an alcohol
sn-glycerol 3-phosphate
H+"	"a glycerophosphodiester
H2O"	"an alcohol
sn-glycerol 3-phosphate
H+"
a glycerophosphodiester[periplasm]+ ATP + H2O → a glycerophosphodiester[cytosol]+ ADP + phosphate + H+	glycerol-3-phosphate / glycerophosphodiester ABC transporter	ABC-34-CPLX	TRANS-RXN0-573	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
a glycerophosphodiester
ADP
phosphate
H+"	"a glycerophosphodiester
ATP
H2O"	"a glycerophosphodiester
ADP
phosphate
H+"
a glycogen + phosphate → an α-limit dextrin + α-D-glucopyranose 1-phosphate	glycogen phosphorylase	GLYCOPHOSPHORYL-CPLX	GLYCOPHOSPHORYL-RXN	PHYSIOL-LEFT-TO-RIGHT	"phosphate
a glycogen
an α-limit dextrin
α-D-glucopyranose 1-phosphate"	"a glycogen
phosphate"	"an α-limit dextrin
α-D-glucopyranose 1-phosphate"
a glycoside[periplasm]↔ a glycoside[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7210	REVERSIBLE	a glycoside	a glycoside	a glycoside
a guanine1516in 16S rRNA + S-adenosyl-L-methionine → an N2-methylguanine1516in 16S rRNA + S-adenosyl-L-homocysteine + H+	16S rRNA m2G1516 methyltransferase	EG12233-MONOMER	RXN0-6731	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanine1516in 16S rRNA
an N2-methylguanine1516in 16S rRNA
S-adenosyl-L-homocysteine
H+"	"a guanine1516in 16S rRNA
S-adenosyl-L-methionine"	"an N2-methylguanine1516in 16S rRNA
S-adenosyl-L-homocysteine
H+"
a guanine2069in 23S rRNA + S-adenosyl-L-methionine → an N7-methylguanine2069in 23S rRNA + S-adenosyl-L-homocysteine	fused 23S rRNA m2G2445 methyltransferase and 23S rRNA m7G2069 methyltransferase	G6488-MONOMER	RXN0-6950	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanine2069in 23S rRNA
an N7-methylguanine2069in 23S rRNA
S-adenosyl-L-homocysteine"	"a guanine2069in 23S rRNA
S-adenosyl-L-methionine"	"an N7-methylguanine2069in 23S rRNA
S-adenosyl-L-homocysteine"
a guanine34in tRNA + preQ1→ a 7-aminomethyl-7-deazaguanosine34in tRNA + guanine	tRNA-guanine transglycosylase	CPLX0-1101	RXN0-1321	LEFT-TO-RIGHT	"preQ1
a guanine34in tRNA
a 7-aminomethyl-7-deazaguanosine34in tRNA
guanine"	"a guanine34in tRNA
preQ1"	"a 7-aminomethyl-7-deazaguanosine34in tRNA
guanine"
a guanine37in tRNA + S-adenosyl-L-methionine → an N1-methylguanine37in tRNA + S-adenosyl-L-homocysteine + H+	tRNA m1G37 methyltransferase	CPLX0-3950	RXN-12458	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanine37in tRNA
an N1-methylguanine37in tRNA
S-adenosyl-L-homocysteine
H+"	"a guanine37in tRNA
S-adenosyl-L-methionine"	"an N1-methylguanine37in tRNA
S-adenosyl-L-homocysteine
H+"
a guanine46in tRNA + S-adenosyl-L-methionine → an N7-methylguanine46in tRNA + S-adenosyl-L-homocysteine	tRNA m7G46 methyltransferase	EG11779-MONOMER	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanine46in tRNA
an N7-methylguanine46in tRNA
S-adenosyl-L-homocysteine"	"a guanine46in tRNA
S-adenosyl-L-methionine"	"an N7-methylguanine46in tRNA
S-adenosyl-L-homocysteine"
a guanine745in 23S rRNA + S-adenosyl-L-methionine → an N1-methylguanine745in 23S rRNA + S-adenosyl-L-homocysteine + H+	23S rRNA m1G745 methyltransferase	EG12207-MONOMER	RXN-11573	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanine745in 23S rRNA
an N1-methylguanine745in 23S rRNA
S-adenosyl-L-homocysteine
H+"	"a guanine745in 23S rRNA
S-adenosyl-L-methionine"	"an N1-methylguanine745in 23S rRNA
S-adenosyl-L-homocysteine
H+"
a guanosine18in tRNA + S-adenosyl-L-methionine → a 2'-O-methylguanosine18in tRNA + S-adenosyl-L-homocysteine + H+	tRNA (Gm18) 2'-O-methyltransferase	EG10967-MONOMER	2.1.1.34-RXN	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a guanosine18in tRNA
a 2'-O-methylguanosine18in tRNA
S-adenosyl-L-homocysteine
H+"	"a guanosine18in tRNA
S-adenosyl-L-methionine"	"a 2'-O-methylguanosine18in tRNA
S-adenosyl-L-homocysteine
H+"
a hexanoyl-[acyl-carrier-protein] + a malonyl-[acp] + H+→ a 3-oxo-octanoyl-[acp] + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-9523	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a hexanoyl-[acyl-carrier-protein]
a 3-oxo-octanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"	"a hexanoyl-[acyl-carrier-protein]
a malonyl-[acp]
H+"	"a 3-oxo-octanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"
a hexose phosphate + H2O → a hexose + phosphate	"sugar phosphatase
hexitol phosphatase A
sugar phosphatase YidA
phosphosugar phosphatase YigL
alkaline phosphatase"	"G6425-MONOMER
G7187-MONOMER
EG11195-MONOMER
EG11470-MONOMER
ALKAPHOSPHA-CPLX"	RXN-14483	PHYSIOL-LEFT-TO-RIGHT	"H2O
a hexose phosphate
a hexose
phosphate"	"a hexose phosphate
H2O"	"a hexose
phosphate"
a holo-[acyl-carrier protein] + acetyl-CoA ↔ an acetyl-[acp] + coenzyme A	β-ketoacyl-[acyl carrier protein] synthase III	CPLX0-252	ACP-S-ACETYLTRANSFER-RXN	REVERSIBLE	"acetyl-CoA
a holo-[acyl-carrier protein]
an acetyl-[acp]
coenzyme A"	"a holo-[acyl-carrier protein]
acetyl-CoA"	"an acetyl-[acp]
coenzyme A"
a holo-[acyl-carrier protein] + H2O → 4'-phosphopantetheine + an acyl-carrier protein + H+	acyl carrier protein phosphodiesterase	EG11095-MONOMER	3.1.4.14-RXN	PHYSIOL-LEFT-TO-RIGHT	"a holo-[acyl-carrier protein]
H2O
4'-phosphopantetheine
an apo-[acyl-carrier protein]
H+"	"H2O
a holo-[acyl-carrier protein]"	"4'-phosphopantetheine
an apo-[acyl-carrier protein]
H+"
a holo-[acyl-carrier protein] + malonyl-CoA → a malonyl-[acp] + coenzyme A	malonyl-CoA-acyl carrier protein transacylase	MALONYL-COA-ACP-TRANSACYL-MONOMER	MALONYL-COA-ACP-TRANSACYL-RXN	PHYSIOL-LEFT-TO-RIGHT	"malonyl-CoA
a holo-[acyl-carrier protein]
a malonyl-[acp]
coenzyme A"	"a holo-[acyl-carrier protein]
malonyl-CoA"	"a malonyl-[acp]
coenzyme A"
a holo-[EntF peptidyl-carrier protein] + L-seryl-adenylate → a seryl-[EntF peptidyl-carrier protein] + AMP + H+	"holo[EntF peptidyl-carrier protein]
enterobactin synthase"	"ENTF-PANT
ENTMULTI-CPLX"	RXN-15890	LEFT-TO-RIGHT	"L-seryl-adenylate
a holo-[EntF peptidyl-carrier protein]
a seryl-[EntF peptidyl-carrier protein]
AMP
H+"	"a holo-[EntF peptidyl-carrier protein]
L-seryl-adenylate"	"a seryl-[EntF peptidyl-carrier protein]
AMP
H+"
a hydroxy carboxylate[periplasm]↔ a hydroxy carboxylate[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7243	REVERSIBLE	a hydroxy carboxylate	a hydroxy carboxylate	a hydroxy carboxylate
a HypE hydrogenase maturation protein-S-carboxamide + ATP → a HypE hydrogenase maturation protein-S-cyanate + ADP + phosphate + H+	hydrogenase maturation protein, carbamoyl dehydratase	EG10487-MONOMER	RXN-17943	PHYSIOL-LEFT-TO-RIGHT	"ATP
a HypE hydrogenase maturation protein-S-carboxamide
a HypE hydrogenase maturation protein-S-cyanate
ADP
phosphate
H+"	"a HypE hydrogenase maturation protein-S-carboxamide
ATP"	"a HypE hydrogenase maturation protein-S-cyanate
ADP
phosphate
H+"
